4034,1986 PA,2013,Apr,1,23:08,<  00:01,59.5,0.1528,0.1528,12.14,<,1.00E-09,3.00E+05,18.1,96*,4754,JPL#07
7753,1988 XB,2013,Jul,10,13:19,<  00:01,46,0.1183,0.1183,10.2,<,1.00E-09,2.50E+05,18.6,246,3346,JPL#06
6037,1988 EG,2013,Aug,12,4:01,<  00:01,71.9,0.1847,0.1847,20.2,<,1.00E-09,1.10E+06,18.7,295*,3686,JPL#21
,1999 CF9,2013,Aug,22,22:46,7:22,24.2,0.0623,0.0573,18.88,<,1.00E-09,1.00E+05,17.9,224,214,JPL#41
,1998 ML14,2013,Aug,24,10:30,1:29,21.9,0.0562,0.0561,10.36,<,1.00E-09,7.30E+05,17.6,248*,214,JPL#53
4581,Asclepius,2013,Aug,25,15:03,0:06,46.2,0.1188,0.1188,7.58,<,1.00E-09,7.80E+04,20.4,34,444,JPL#04
,1998 UT18,2013,Nov,21,15:53,1:09,67.1,0.1725,0.1715,13.62,<,1.00E-09,3.10E+05,19,139,204,JPL#37
,1996 RG3,2013,Nov,26,,1/21:43,61.9,0.1591,0.1552,11.22,<,1.00E-09,1.60E+05,18.5,97,245,JPL#02
3361,Orpheus,2013,Dec,7,0:10,<  00:01,40.1,0.1032,0.1032,6.06,<,1.00E-09,4.90E+05,19,84,5908,JPL#04
,1999 JV6,2014,Jan,13,,5/13:29,60,0.1541,0.1293,6.46,<,1.00E-09,3.40E+04,20,93,21,JPL#17
,1995 SA,2014,Apr,3,,1/03:31,74.3,0.191,0.1822,14.18,<,1.00E-09,7.80E+02,17.5,19,1687,JPL#04
2340,Hathor,2014,Oct,21,21:28,<  00:01,18.8,0.0482,0.0482,11.91,<,1.00E-09,1.20E+05,19.2,72,7739,JPL#10
,1998 SS49,2014,Nov,18,10:02,4:03,73.8,0.1895,0.1863,23.09,<,1.00E-09,2.50E+05,15.9,102,280,JPL#26
,1999 JV6,2015,Jan,5,13:46,15:52,34.2,0.088,0.0624,7.56,<,1.00E-09,3.50E+04,20,93,21,JPL#17
,1998 HD14,2015,Apr,14,20:03,0:33,72.1,0.1854,0.1848,14.87,<,1.00E-09,2.90E+04,21,55,392,JPL#05
,1999 FN53,2015,May,14,12:39,2:28,26.4,0.068,0.0676,13.73,<,1.00E-09,2.40E+06,18.4,124*,190,JPL#36
1566,Icarus,2015,Jun,16,15:39,<  00:01,21,0.0538,0.0538,30.22,<,1.00E-09,1.10E+06,16.4,579*,17174,JPL#29
,1994 AW1,2015,Jul,15,14:24,0:16,25.3,0.0651,0.0647,12.45,<,1.00E-09,4.40E+04,17.5,179,269,JPL#06
,1999 JD6,2015,Jul,25,5:10,0:22,18.8,0.0484,0.0483,20.32,<,1.00E-09,3.80E+04,16.7,209,158,JPL#42
7822,1991 CS,2015,Sep,4,23:28,<  00:01,62.1,0.1596,0.1596,18.95,<,1.00E-09,3.60E+05,17.4,204*,2383,JPL#08
,1998 WT24,2015,Dec,12,,3/11:51,10.3,0.0265,0.0186,8.54,<,1.00E-09,5.90E+03,17.7,43,33,JPL#11
,1999 JV6,2016,Jan,5,22:20,17:47,13.2,0.0339,0.0314,9.48,<,1.00E-09,2.90E+04,20,93,21,JPL#17
7822,1991 CS,2016,Feb,23,6:13,<  00:01,65.5,0.1683,0.1683,19.12,<,1.00E-09,2.70E+06,17.4,204*,2383,JPL#08
,1998 HD14,2016,Apr,9,14:45,1:53,60.3,0.1549,0.1543,6.14,<,1.00E-09,4.30E+04,21,55,392,JPL#05
,1997 XF11,2016,Jun,10,15:04,1:04,70,0.1798,0.1797,9.77,<,1.00E-09,9.30E+04,17,147,2923,JPL#21
,1998 HL3,2016,Jul,7,,8/04:28,75.9,0.195,0.1797,7.25,<,1.00E-09,5.00E+03,20,61,36,JPL#04
,1999 SO5,2016,Oct,14,,5/21:52,63.5,0.163,0.1604,7.24,<,1.00E-09,4.90E+03,21.3,57,19,JPL#14
